"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1947","shouldDisplayInTableDataReturnedByBooksApi()","","Tue May 12 22:01:52 UTC 2026","passed","Tue May 12 22:01:54 UTC 2026","","com.elviraqa.NetworkInterceptionTest","com.elviraqa.NetworkInterceptionTest","shouldDisplayInTableDataReturnedByBooksApi"
"","2513","shouldSelectMultipleCheckboxes()","","Tue May 12 22:01:26 UTC 2026","passed","Tue May 12 22:01:28 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldSelectMultipleCheckboxes"
"","2129","shouldDisplayCascadingSubMenuOnHover()","","Tue May 12 22:01:30 UTC 2026","passed","Tue May 12 22:01:33 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldDisplayCascadingSubMenuOnHover"
"","2239","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Peter Parker, email=peter@test.com, currentAddress=Dogs Street 5A, permanentAddress=Cats Street 6B]","","Tue May 12 22:01:44 UTC 2026","passed","Tue May 12 22:01:46 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","2250","shouldHandleClickWithModifiers()","","Tue May 12 22:01:28 UTC 2026","passed","Tue May 12 22:01:30 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldHandleClickWithModifiers"
"","4322","testLoginWithScreenshots()","","Tue May 12 22:02:08 UTC 2026","passed","Tue May 12 22:02:12 UTC 2026","","com.elviraqa.AllureReportingTest","com.elviraqa.AllureReportingTest","testLoginWithScreenshots"
"","3607","shouldSuccessfullySubmitRegistrationForm()","","Tue May 12 22:01:17 UTC 2026","passed","Tue May 12 22:01:20 UTC 2026","","com.elviraqa.RegistrationFormTest","com.elviraqa.RegistrationFormTest","shouldSuccessfullySubmitRegistrationForm"
"","8365","shouldSuccessfullyHandleAlerts()","","Tue May 12 22:01:54 UTC 2026","passed","Tue May 12 22:02:03 UTC 2026","","com.elviraqa.DialogHandlingTest","com.elviraqa.DialogHandlingTest","shouldSuccessfullyHandleAlerts"
"","1929","shouldSuccessfullyDownloadFile()","","Tue May 12 22:02:03 UTC 2026","passed","Tue May 12 22:02:05 UTC 2026","","com.elviraqa.FileDownloadTest","com.elviraqa.FileDownloadTest","shouldSuccessfullyDownloadFile"
"","2781","testProfileAfterApiLogin()","","Tue May 12 22:01:22 UTC 2026","passed","Tue May 12 22:01:25 UTC 2026","","com.elviraqa.PlaywrightApiUiTest","com.elviraqa.PlaywrightApiUiTest","testProfileAfterApiLogin"
"","1976","shouldSuccessfullyEmulateIPhone12Pro()","","Tue May 12 22:01:49 UTC 2026","passed","Tue May 12 22:01:51 UTC 2026","","com.elviraqa.EmulationIPhone12ProTest","com.elviraqa.EmulationIPhone12ProTest","shouldSuccessfullyEmulateIPhone12Pro"
"","1724","testTitleOnDemoQA()","","Tue May 12 22:02:05 UTC 2026","passed","Tue May 12 22:02:07 UTC 2026","","com.elviraqa.PlaywrightTitleTest","com.elviraqa.PlaywrightTitleTest","testTitleOnDemoQA"
"","2381","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Anna Smith, email=anna@example.com, currentAddress=Baker Street 221B, permanentAddress=Red Street 250]","","Tue May 12 22:01:46 UTC 2026","passed","Tue May 12 22:01:49 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","3753","shouldSuccessfullyLoginWithCorrectUsernameAndPassword()","","Tue May 12 22:01:40 UTC 2026","passed","Tue May 12 22:01:44 UTC 2026","","com.elviraqa.LoginTest","com.elviraqa.LoginTest","shouldSuccessfullyLoginWithCorrectUsernameAndPassword"
"","6230","successfulLoginTest()","","Tue May 12 22:01:33 UTC 2026","passed","Tue May 12 22:01:39 UTC 2026","","com.elviraqa.TracingDebugTest","com.elviraqa.TracingDebugTest","successfulLoginTest"
