"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1204","shouldSuccessfullyDownloadFile()","","Mon May 11 22:48:03 UTC 2026","passed","Mon May 11 22:48:05 UTC 2026","","com.elviraqa.FileDownloadTest","com.elviraqa.FileDownloadTest","shouldSuccessfullyDownloadFile"
"","3076","shouldSuccessfullyLoginWithCorrectUsernameAndPassword()","","Mon May 11 22:47:44 UTC 2026","passed","Mon May 11 22:47:48 UTC 2026","","com.elviraqa.LoginTest","com.elviraqa.LoginTest","shouldSuccessfullyLoginWithCorrectUsernameAndPassword"
"","1611","shouldSelectMultipleCheckboxes()","","Mon May 11 22:47:04 UTC 2026","passed","Mon May 11 22:47:06 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldSelectMultipleCheckboxes"
"","1698","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Peter Parker, email=peter@test.com, currentAddress=Dogs Street 5A, permanentAddress=Cats Street 6B]","","Mon May 11 22:47:48 UTC 2026","passed","Mon May 11 22:47:50 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","2943","shouldSuccessfullySubmitRegistrationForm()","","Mon May 11 22:47:01 UTC 2026","passed","Mon May 11 22:47:04 UTC 2026","","com.elviraqa.RegistrationFormTest","com.elviraqa.RegistrationFormTest","shouldSuccessfullySubmitRegistrationForm"
"","1226","shouldDisplayInTableDataReturnedByBooksApi()","","Mon May 11 22:47:54 UTC 2026","passed","Mon May 11 22:47:55 UTC 2026","","com.elviraqa.NetworkInterceptionTest","com.elviraqa.NetworkInterceptionTest","shouldDisplayInTableDataReturnedByBooksApi"
"","1611","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Anna Smith, email=anna@example.com, currentAddress=Baker Street 221B, permanentAddress=Red Street 250]","","Mon May 11 22:47:50 UTC 2026","passed","Mon May 11 22:47:51 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","3079","testLoginWithScreenshots()","","Mon May 11 22:48:07 UTC 2026","passed","Mon May 11 22:48:10 UTC 2026","","com.elviraqa.AllureReportingTest","com.elviraqa.AllureReportingTest","testLoginWithScreenshots"
"","1563","shouldHandleClickWithModifiers()","","Mon May 11 22:47:06 UTC 2026","passed","Mon May 11 22:47:07 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldHandleClickWithModifiers"
"","1234","shouldSuccessfullyEmulateIPhone12Pro()","","Mon May 11 22:47:52 UTC 2026","passed","Mon May 11 22:47:53 UTC 2026","","com.elviraqa.EmulationIPhone12ProTest","com.elviraqa.EmulationIPhone12ProTest","shouldSuccessfullyEmulateIPhone12Pro"
"","5013","successfulLoginTest()","","Mon May 11 22:47:39 UTC 2026","passed","Mon May 11 22:47:44 UTC 2026","","com.elviraqa.TracingDebugTest","com.elviraqa.TracingDebugTest","successfulLoginTest"
"","31194","shouldDisplayCascadingSubMenuOnHover()","","Mon May 11 22:47:07 UTC 2026","broken","Mon May 11 22:47:39 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldDisplayCascadingSubMenuOnHover"
"","7641","shouldSuccessfullyHandleAlerts()","","Mon May 11 22:47:55 UTC 2026","passed","Mon May 11 22:48:03 UTC 2026","","com.elviraqa.DialogHandlingTest","com.elviraqa.DialogHandlingTest","shouldSuccessfullyHandleAlerts"
"","1030","testTitleOnDemoQA()","","Mon May 11 22:48:05 UTC 2026","passed","Mon May 11 22:48:06 UTC 2026","","com.elviraqa.PlaywrightTitleTest","com.elviraqa.PlaywrightTitleTest","testTitleOnDemoQA"
