"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7703","shouldSuccessfullyHandleAlerts()","","Wed Apr 15 22:31:28 UTC 2026","passed","Wed Apr 15 22:31:36 UTC 2026","","com.elviraqa.DialogHandlingTest","com.elviraqa.DialogHandlingTest","shouldSuccessfullyHandleAlerts"
"","3162","shouldSuccessfullyLoginWithCorrectUsernameAndPassword()","","Wed Apr 15 22:31:17 UTC 2026","passed","Wed Apr 15 22:31:20 UTC 2026","","com.elviraqa.LoginTest","com.elviraqa.LoginTest","shouldSuccessfullyLoginWithCorrectUsernameAndPassword"
"","2792","shouldSuccessfullySubmitRegistrationForm()","","Wed Apr 15 22:31:09 UTC 2026","passed","Wed Apr 15 22:31:12 UTC 2026","","com.elviraqa.RegistrationFormTest","com.elviraqa.RegistrationFormTest","shouldSuccessfullySubmitRegistrationForm"
"","1022","testTitleOnDemoQA()","","Wed Apr 15 22:31:38 UTC 2026","passed","Wed Apr 15 22:31:39 UTC 2026","","com.elviraqa.PlaywrightTitleTest","com.elviraqa.PlaywrightTitleTest","testTitleOnDemoQA"
"","1690","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Peter Parker, email=peter@test.com, currentAddress=Dogs Street 5A, permanentAddress=Cats Street 6B]","","Wed Apr 15 22:31:21 UTC 2026","passed","Wed Apr 15 22:31:23 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","1579","shouldSelectMultipleCheckboxes()","","Wed Apr 15 22:31:12 UTC 2026","passed","Wed Apr 15 22:31:14 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldSelectMultipleCheckboxes"
"","1429","shouldDisplayCascadingSubMenuOnHover()","","Wed Apr 15 22:31:15 UTC 2026","passed","Wed Apr 15 22:31:17 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldDisplayCascadingSubMenuOnHover"
"","1645","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Anna Smith, email=anna@example.com, currentAddress=Baker Street 221B, permanentAddress=Red Street 250]","","Wed Apr 15 22:31:23 UTC 2026","passed","Wed Apr 15 22:31:24 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","1242","shouldDisplayInTableDataReturnedByBooksApi()","","Wed Apr 15 22:31:27 UTC 2026","passed","Wed Apr 15 22:31:28 UTC 2026","","com.elviraqa.NetworkInterceptionTest","com.elviraqa.NetworkInterceptionTest","shouldDisplayInTableDataReturnedByBooksApi"
"","1507","shouldHandleClickWithModifiers()","","Wed Apr 15 22:31:14 UTC 2026","passed","Wed Apr 15 22:31:15 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldHandleClickWithModifiers"
"","1275","shouldSuccessfullyEmulateIPhone12Pro()","","Wed Apr 15 22:31:25 UTC 2026","passed","Wed Apr 15 22:31:26 UTC 2026","","com.elviraqa.EmulationIPhone12ProTest","com.elviraqa.EmulationIPhone12ProTest","shouldSuccessfullyEmulateIPhone12Pro"
"","1311","shouldSuccessfullyDownloadFile()","","Wed Apr 15 22:31:36 UTC 2026","passed","Wed Apr 15 22:31:38 UTC 2026","","com.elviraqa.FileDownloadTest","com.elviraqa.FileDownloadTest","shouldSuccessfullyDownloadFile"
