"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7663","shouldSuccessfullyHandleAlerts()","","Thu Apr 09 23:09:47 UTC 2026","passed","Thu Apr 09 23:09:55 UTC 2026","","com.elviraqa.DialogHandlingTest","com.elviraqa.DialogHandlingTest","shouldSuccessfullyHandleAlerts"
"","6240","shouldSuccessfullyLoginWithCorrectUsernameAndPassword()","","Thu Apr 09 23:09:33 UTC 2026","failed","Thu Apr 09 23:09:40 UTC 2026","","com.elviraqa.LoginTest","com.elviraqa.LoginTest","shouldSuccessfullyLoginWithCorrectUsernameAndPassword"
"","1253","shouldDisplayInTableDataReturnedByBooksApi()","","Thu Apr 09 23:09:46 UTC 2026","passed","Thu Apr 09 23:09:47 UTC 2026","","com.elviraqa.NetworkInterceptionTest","com.elviraqa.NetworkInterceptionTest","shouldDisplayInTableDataReturnedByBooksApi"
"","1389","testTitleOnDemoQA()","","Thu Apr 09 23:09:57 UTC 2026","passed","Thu Apr 09 23:09:59 UTC 2026","","com.elviraqa.PlaywrightTitleTest","com.elviraqa.PlaywrightTitleTest","testTitleOnDemoQA"
"","1487","shouldDisplayCascadingSubMenuOnHover()","","Thu Apr 09 23:09:31 UTC 2026","passed","Thu Apr 09 23:09:33 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldDisplayCascadingSubMenuOnHover"
"","1712","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Peter Parker, email=peter@test.com, currentAddress=Dogs Street 5A, permanentAddress=Cats Street 6B]","","Thu Apr 09 23:09:40 UTC 2026","passed","Thu Apr 09 23:09:42 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
"","1592","shouldHandleClickWithModifiers()","","Thu Apr 09 23:09:30 UTC 2026","passed","Thu Apr 09 23:09:31 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldHandleClickWithModifiers"
"","1263","shouldSuccessfullyEmulateIPhone12Pro()","","Thu Apr 09 23:09:44 UTC 2026","passed","Thu Apr 09 23:09:45 UTC 2026","","com.elviraqa.EmulationIPhone12ProTest","com.elviraqa.EmulationIPhone12ProTest","shouldSuccessfullyEmulateIPhone12Pro"
"","2800","shouldSuccessfullySubmitRegistrationForm()","","Thu Apr 09 23:09:25 UTC 2026","passed","Thu Apr 09 23:09:28 UTC 2026","","com.elviraqa.RegistrationFormTest","com.elviraqa.RegistrationFormTest","shouldSuccessfullySubmitRegistrationForm"
"","1342","shouldSuccessfullyDownloadFile()","","Thu Apr 09 23:09:55 UTC 2026","passed","Thu Apr 09 23:09:57 UTC 2026","","com.elviraqa.FileDownloadTest","com.elviraqa.FileDownloadTest","shouldSuccessfullyDownloadFile"
"","1720","shouldSelectMultipleCheckboxes()","","Thu Apr 09 23:09:28 UTC 2026","passed","Thu Apr 09 23:09:30 UTC 2026","","com.elviraqa.HoverAndModifiersTest","com.elviraqa.HoverAndModifiersTest","shouldSelectMultipleCheckboxes"
"","1583","shouldSuccessfullySubmitFormData(FormData) Form test: FormData[fullName=Anna Smith, email=anna@example.com, currentAddress=Baker Street 221B, permanentAddress=Red Street 250]","","Thu Apr 09 23:09:42 UTC 2026","passed","Thu Apr 09 23:09:43 UTC 2026","","com.elviraqa.FormDataSubmitParameterizedTest","com.elviraqa.FormDataSubmitParameterizedTest","shouldSuccessfullySubmitFormData"
